town,flat_type,block,street_name,flat_model
ANG MO KIO,1 ROOM,309,ANG MO KIO AVE 1,Improved
BEDOK,3 ROOM,216,ANG MO KIO AVE 3,New Generation
BISHAN,4 ROOM,211,ANG MO KIO AVE 4,"MODEL A, A2 & MODEL A-MAISONETTE"
BUKIT BATOK,5 ROOM,202,ANG MO KIO AVE 10,Standard & Simplified
BUKIT MERAH,2 ROOM,235,ANG MO KIO AVE 5,Others
BUKIT TIMAH,EXECUTIVE,232,ANG MO KIO AVE 8,Premium Apartment
CENTRAL AREA,MULTI GENERATION,308,ANG MO KIO AVE 6,Standard
CHOA CHU KANG,,220,ANG MO KIO AVE 9,Apartment
CLEMENTI,,219,ANG MO KIO AVE 2,Maisonette
GEYLANG,,247,BEDOK RESERVOIR RD,Multi Generation
HOUGANG,,320,BEDOK NTH ST 3,Adjoined flat
JURONG EAST,,252,BEDOK STH RD,Terrace
JURONG WEST,,223,NEW UPP CHANGI RD,DBSS
KALLANG/WHAMPOA,,230,BEDOK NTH RD,"Type S1, S2"
MARINE PARADE,,329,BEDOK STH AVE 1,
QUEENSTOWN,,313,CHAI CHEE RD,
SENGKANG,,117,CHAI CHEE DR,
SERANGOON,,110,BEDOK NTH AVE 4,
TAMPINES,,343,BEDOK STH AVE 3,
TOA PAYOH,,345,BEDOK STH AVE 2,
WOODLANDS,,346,BEDOK NTH ST 2,
YISHUN,,121,BEDOK NTH ST 4,
LIM CHU KANG,,129,BEDOK NTH AVE 2,
SEMBAWANG,,130,BEDOK NTH AVE 3,
BUKIT PANJANG,,128,BEDOK NTH AVE 1,
PASIR RIS,,127,BEDOK NTH ST 1,
PUNGGOL,,126,CHAI CHEE ST,
,,403,SIN MING RD,
,,404,SHUNFU RD,
,,405,BT BATOK ST 11,
,,417,BT BATOK WEST AVE 8,
,,418,BT BATOK WEST AVE 6,
,,419,BT BATOK ST 21,
,,441,BT BATOK EAST AVE 5,
,,442,BT BATOK EAST AVE 4,
,,443,HILLVIEW AVE,
,,444,BT BATOK CTRL,
,,450,BT BATOK ST 31,
,,435,BT BATOK EAST AVE 3,
,,433,TAMAN HO SWEE,
,,434,TELOK BLANGAH CRES,
,,424,BEO CRES,
,,425,TELOK BLANGAH DR,
,,466,DEPOT RD,
,,471,TELOK BLANGAH RISE,
,,474,JLN BT MERAH,
,,570,HENDERSON RD,
,,586,INDUS RD,
,,455,BT MERAH VIEW,
,,465,HENDERSON CRES,
,,463,BT PURMEI RD,
,,564,TELOK BLANGAH HTS,
,,560,EVERTON PK,
,,558,KG BAHRU HILL,
,,559,REDHILL CL,
,,538,HOY FATT RD,
,,534,HAVELOCK RD,
,,601,JLN KLINIK,
,,603,JLN RUMAH TINGGI,
,,604,JLN BT HO SWEE,
,,608,KIM CHENG ST,
,,611,MOH GUAN TER,
,,505,TELOK BLANGAH WAY,
,,503,KIM TIAN RD,
,,610,KIM TIAN PL,
,,607,EMPRESS RD,
,,524,QUEEN'S RD,
,,513,FARRER RD,
,,643,JLN KUKOH,
,,542,OUTRAM PK,
,,548,SHORT ST,
,,550,SELEGIE RD,
,,639,UPP CROSS ST,
,,637,WATERLOO ST,
,,330,QUEEN ST,
,,333,BUFFALO RD,
,,156,ROWELL RD,
,,152,ROCHOR RD,
,,178,BAIN ST,
,,180,SMITH ST,
,,209,VEERASAMY RD,
,,231,TECK WHYE AVE,
